session_id	item_id_seq	item_id
156	12 44 106	21
157	64 1 46 8 317	22
158	171 98 278 24 238 114	231
159	13 52 32 46 86 133 12 172	97
160	82 233 187 143	319
161	2 5 19 20 320 0 1 6 249	321
162	1 32 13 88 156 4 12	106
163	32 75 323 270 324 88 90 132 313 227 225 94 67 316 325	286
164	6 120 142 118	28
165	66 6 96 1 296 147 27	326
166	122 89 104 6	13
167	2 3 17 22 5 0 137 120	225
168	195 98 88 21 327 121	271
169	6 1 38 43 39 96 142 93 2 16 144 71 119 113	124
170	77 270 121 52	55
171	147 179 279 328	7
172	66 1 142 5 22 155	329
173	2 3 1	0
174	43 239 136 104 161	38
175	37 260 331 185	332
176	95 1 0	225
177	265 142 194 127 22 15 334	335
178	12 4 2 172 5 154 155	336
179	1 0 2 5 3	4
180	2 3 133	5
181	97 21 2 22 5 12 115 293 275	298
182	285 26 191 165 337 2	33
183	82 13 339 188 6 133 86 176 99 164 114 340 70	12
184	80 71 52 104 96 30	233
185	71 147 27 290 326 124 248 342 144 270 182 2 79 6 5 1 159 162 136 96 64 343 117 119 344 216 18 345 346 347 348 101 349 350 237 351 352 353 233 234 341 289 158 113 7	338
186	32 88 44 75 97	256
187	354 234 355 129 83 82 171 22 29 274 39 96 45 198	93
188	44 25 131 1 13 116	106
189	6 158 356 357	173
190	133 44 1 324	131
191	7 115 185	96
192	97 114 70 2	32
193	111 155 330 326	359
194	13 57 6 185 25 44 77 52	139
195	113 137 43 39 68	69
196	30 136 158	237
197	71 55 124	11
198	360 295 358	361
199	15 270 9	23
200	38 239 66 6 55 1 136	155
201	97 88 2 5 30	188
202	2 97 70	19
203	133 6 130 129 142	23
204	0 3 2 5 225 94 115 155 64 1	320
205	228 71 4 130 144 6	216
206	142 66 77 103 182 1 363 55 121 29	262
207	122 228 12 14	138
208	157 4 156 95 22 2	213
209	43 46 30	21
210	91 129 6	221
211	1 14 64 296 108 66 13 294 366 303 191	65
212	2 5 46 172 110 367 60 3 30 29	225
213	177 126 148	96
214	7 94 151 2 72 46	155
215	274 88 172 97 133 46 363 171 6 16 37 38	262
216	226 310 91	233
217	25 12 96	66
218	23 97 70 17	1
219	114 236 369 195 270 263	121
220	25 12 13 128 131	32
221	55 7 104	6
222	274 59 370 182 371 104 372 96 2 373 374 375 376 244 257 72 377 202 126 139 135 358 378 14 215	210
223	132 1 379 377 362 70 380	129
224	1 2 343 314 106	61
225	3 2 19 21 225	136
226	37 113 142 26	229
227	30 29 137 91	43
228	324 66 124	198
229	281 30 104 271 93 121	270
230	231 238 114 383 324 98 141 24 278	171
231	5 1 19 172	72
232	130 4 156 38 129 68	69
233	22 137 30 5	219
234	30 1 132	22
235	385 2 21 5	61
236	130 129 156 2 3 1	155
237	2 4 5 130	1
238	12 44 154	106
239	80 71 82 6 96 43 368 124 386 66	53
240	240 139 104	15
241	114 46 5 2 313 106	93
242	6 66 27	296
243	4 133 10 1 39 22	2
244	3 2 1 0 17 46	21
245	38 69 42 39	68
246	77 1 0	3
247	2 1 3 49	64
248	3 2 93 6 248 135 21 214	159
249	89 57 274 93 198 176 11 2	191
250	5 19 1 0	2
251	7 22 0 81 46 37 298 61 70 172 72 5 19 20 274 142 21 17 1 2 3 59 293	336
252	172 21 110 89 114 298 19 13 20 98 43 17 46 5 66	3
253	132 265 115 1	21
254	120 2 1	256
255	30 86 22 71	181
256	217 332 274 185 121 6 66 7 24 144	77
257	99 39 144 38 239 55 43	388
258	266 4 129 1 390	379
259	89 82 162	151
260	19 1 2 46 131 96 8 5	12
261	89 23 144 124 312 120 30 96 29 43 215 295 347	136
262	131 12 130	44
263	7 130 118 68 69	364
264	103 43 39 93	52
265	1 0 5 2	3
266	130 1 129 171	205
267	5 2 0	1
268	1 4 12 155 2 21 5 8 237 136	65
269	12 21 1	0
270	182 59 96	370
271	136 139 59 104 134	233
272	39 42 395	137
273	43 96 82 26 6 29	55
274	87 88 70 236 121 97 13	124
275	14 171 15	359
276	39 368 43	261
277	4 0 2 1 3	46
278	324 13 366 25 172 284 91 264 8	310
279	66 22 136 100	21
280	248 167 153	109
281	134 130 129 6 97	380
282	136 1 389	27
283	39 4 43 130 157 343 173 179	261
284	172 2 5 1	290
285	70 97 13 88	87
286	2 109 115 225 94 5 21 6	95
287	131 44 13	12
288	26 30 96 117 120 345	396
289	2 5 3 0	61
290	66 97 343 35	173
291	5 22 2 1	3
292	4 95 109	48
293	6 1 7	88
294	142 97 118 365 173 62 221	401
295	97 176 88	90
296	171 97 39 263	310
297	263 32 104 13 310 91 115 5 15 2 8	67
298	87 97 90 88 70 171 1 96 64 0 320 157 156	4
299	6 7 130 96	113
300	404 403 405 226	406
301	104 164 59 45 182 233	370
302	217 408 333 409	410
303	21 1 17 46	2
304	44 106 265	17
305	130 4 93	96
306	2 239 21 96 171 103 0 1	26
307	133 97 66	90
308	60 130 4 61	264
309	21 5 2 172 19 3 142	155
310	1 404 2	46
311	247 7 111 96 93	30
312	2 3 5 46	142
313	231 363 265	132
314	37 82 144	7
315	124 30 77 82 7 256	71
316	99 240 104	136
317	2 97 4	12
318	15 9 129 130 32	1
319	21 2 22 96	6
320	6 1 22 3 21 60 293	2
321	121 132 236 270 9 88 271	294
322	26 120 147	412
323	5 22 2 6	13
324	8 61 5 46 1 320	0
325	22 5 2	237
326	22 1 0 3 2 329	27
327	144 225 5 93 59 236 20	0
328	87 239 97 22 5 13 270 52 1 61 2	21
329	3 21 30 5	2
330	2 6 12 128 133	270
331	19 0 293 155	2
332	225 256 23 110 3 2 0	46
333	262 93 6 142 43	55
334	52 136 198	29
335	97 70 1 25 2 256	284
336	32 236 82	271
337	19 5 172 2 3 22 109 6	21
338	30 22 155 6	296
339	270 123 264 106	100
340	413 30 274 43 164	209
341	96 71 174 6 148	356
342	6 386 96 1 185 38	163
343	9 22 66 172 151 130 1 132	236
344	172 55 137	29
345	239 7 77 123	6
346	94 225 61 5 21 116	44
347	414 6 101 116 415	7
348	17 6 144	124
349	270 6 21 136 115 263 121	194
350	324 133 1	130
351	122 400 343 314	390
352	234 233 113 188 339	118
353	82 52 136 239 6 43 207	416
354	5 61 2 172	3
355	1 22 2 3	60
356	22 3 2 123	134
357	172 8 115	2
358	32 13 366	44
359	283 209 32 270 111 417 155 406 418 419 420 359 301 365	17
360	283 104 7 71 22 2 6 111 96 274 59 151	228
361	97 70 22 12 5 96 2 3 21 1 19 44	127
362	32 64 316 105	97
363	124 133 12 106 128 175	1
364	1 320 0 2 3 19 20	5
365	120 96 30	163
366	240 136 171 357	347
367	66 1 22 5 142 21	155
368	5 71 172 363	15
369	1 6 0 12 155 2 44 70 60 3	5
370	3 2 19	22
371	423 184 405	205
372	32 1 2 74 13 19 151 15	22
373	136 104 96 198 11 185 59	180
374	121 6 26 30	27
375	129 156 90	97
376	323 75 236 145 5 37 32 22 121 13 310 264 362 262 425 47 303 12	363
377	121 22 81 136	155
378	181 1 5	46
379	145 136 426	75
380	158 427 166	148
381	5 2 22	270
382	46 1 21 225 155 428 393 167 191	64
383	2 5 3	61
384	315 55 289 215	389
385	121 195 236 64 105	191
386	13 1 128	131
387	1 6 97 142 320 0	2
388	88 133 10	96
389	229 6 59	113
390	172 86 270 9	198
391	12 225 5	3
392	270 4 104 172 123 95 59 109 94	299
393	429 296 398	130
394	121 1 195 163 39 88 17 56 430 134 151 372 327 105 182 338 431	66
395	22 46 61	65
396	1 0 2 3 21	5
397	2 6 97 70 5 337 86 133 267 23	1
398	6 13 59	315
399	4 121 236	22
400	6 30 7 118 97 15 71	52
401	1 5 172 23 32 46 249	2
402	7 130 26 239 16 129 22	6
403	30 124 96 111 109	100
404	2 5 201	225
405	129 19 2	69
406	2 3 5 21 46 367 60 6 142	247
407	61 264 74 227 8 434 301	401
408	128 131 12 1	116
409	6 22 340	118
410	3 2 1 66 197	385
411	128 277 70 44 131 25	12
412	30 151 46 12	324
413	30 29 6	28
414	164 185 53 168	255
415	274 80 308	309
416	151 162 229 82 234 99 96	59
417	233 234 104 139	121
418	290 288 44	14
419	263 88 70 93 15 13 12 96 7 118 414 136 66 281 144	145
420	46 2 5 94 367 159 201 225	173
421	6 96 123	172
422	21 0 5	2
423	6 66 142 164 71 274	233
424	237 136 381 400	71
425	2 0 1 12 13 22 44 70 393	27
426	22 2 3 70 437 5	265
427	12 2 71 115	60
428	1 0 44	154
429	21 225 367 22 6 94 249 2 232 313 240 110 438 5 46 152 100 134 393 284 167 329 153 391 321	439
430	215 2 433 12	14
431	6 71 274 151 171	184
432	96 22 367	94
433	6 163 113 96 1 162 239 26 440 71 441 103 442 213 104 443 147 429 356 149 135 64 46 194 444 210 158 341 215 79 35 238	445
434	6 13 131	44
435	38 6 39 96 446 305 155 306 115	142
436	1 123 32 130 4	256
437	70 23 66	5
438	324 22 128 12 127 115 44	48
439	130 2 5	61
440	26 239 137	144
441	2 44 434 1 47 147	191
442	239 172 43 21 5 1 2	8
443	71 96 285 165 178 177	104
444	4 157 161 174	357
445	2 21 109	3
446	86 447 55 52	274
447	7 239 30 113 96 72 163 103 55 111 59 144 299 81 26 124 285 126 37 260 439 143 188 339 161 282 448 252	47
448	173 400 61 167 5 215 356 62	65
449	113 260 37 228	450
450	22 21 2	274
451	1 66 6 267 70 97 357 451	150
452	26 118 30	6
453	172 405 452 187 198 180 427 205 453 171 330	329
454	22 172 98 5	144
455	144 162 16 282 5 274	103
456	1 454 90	97
457	5 46 172 2	3
458	263 93 32	39
459	282 93 240 86 55 76 340 448 125	168
460	1 97 70 22 130	12
461	171 2 21 29 365 221 97 289 17	391
462	89 7 136 17	218
463	21 1 5 249 61 0 2 19 46 172 12 60 433 8 20 393 113 119	130
464	4 21 46 172	1
465	154 128 228 312	86
466	133 88 239 87 156 70 32 2 59 43 38 111	270
467	22 71 89 1 99 106	188
468	225 37 104	99
469	19 20 5 172 236 46	59
470	1 129 4 400 343	64
471	93 71 96 99 43 104	162
472	130 4 21 2 3 22 129 1 95 44 109	455
473	32 13 226	91
474	30 71 282 456 82	345
475	21 96 22 225 46	133
476	13 270 121 263	5
477	7 124 21 80 79	78
478	4 265 86 274 270 154	236
479	133 113 136	104
480	23 97 171 130 88 32 129 13 9 133	87
481	290 2 22 65	4
482	2 306 343 451	201
483	12 44 131 1 2 21	250
484	39 38 68 41 42 27 123	285
485	121 122 195	198
486	75 323 68	69
487	22 6 2	3
488	17 88 97 133 172 1 171	2
489	6 194 113	119
490	59 176 458 340 352 233 258	234
491	460 40 39 137 179 430	279
492	2 21 6	22
493	9 270 13 121	32
494	61 1 0 2 3	60
495	89 5 71	46
496	4 156 12 44 275	68
497	19 12 25 288 2 3	127
498	13 132 86	37
499	22 9 132 270	2
500	21 6 155 45	226
501	45 6 139 109 299 104 142	229
502	90 97 23 2	44
503	5 46 3	94
504	19 20 1	0
505	103 6 55	30
506	1 2 46	7
507	23 87 97 66 171	6
508	6 274 96 39 30	120
509	46 61 2	3
510	3 1 5 154 12	61
511	23 70 12 44 97	14
512	44 6 96	116
513	22 39 5	2
514	158 461 418	240
515	133 130 129	98
516	363 32 463 88 52 23 90 97	270
517	22 2 464 293	21
518	2 5 22 21 4	130
519	32 1 66 6 285 2 21	329
520	0 1 61 96	21
521	119 6 30 124 106	128
522	22 94 109 1 21 225	46
523	2 3 1 0 65 66 21	6
524	6 59 32 155 46 215	210
525	2 5 46 154	8
526	124 122 176	198
527	115 60 192 465	306
528	22 130 7	2
529	233 59 234	353
530	1 6 64 2 343	253
531	209 11 208	356
532	225 95 115 293	2
533	30 172 225 2 3 46 89 93 94 22 156 4	130
534	133 10 189 233 234	353
535	6 1 359	316
536	225 22 46 2	3
537	37 35 198	203
538	22 1 136 130 71	70
539	176 340 164 118 168 24 143 66	30
540	2 3 1	293
541	1 144 385 155 173 47	329
542	32 70 90 1	23
543	1 6 2 151 27 35 197	429
544	1 6 0 46 2 130 17 3 22 19 21	8
545	96 30 124	233
546	2 19 20 327 467 21 224	336
547	122 263 13 145	75
548	290 1 21	224
549	198 115 354 82	98
550	1 118 75	323
551	46 17 225 71 299 298 172	367
552	2 5 44	25
553	454 248 46	149
554	4 172 60 367 61 5 130 46 115 284 8	300
555	66 21 137 96	30
556	70 27 140 14	105
557	13 106 12 44 2 87 132	22
558	95 96 281	66
559	270 13 88 70 236 121 16 30 12 1 104 4 66 32	39
560	142 274 59 104 43 136 121 6 96	182
561	239 103 124 310 151 228	7
562	130 4 98 136 233 238 142 1	390
563	225 29 155	55
564	124 6 2 162	5
565	270 236 132	88
566	6 7 96	256
567	9 104 5 262 190	86
568	2 1 61	5
569	133 21 3 1 2 5	0
570	270 271 88 298 86	52
571	124 30 145	6
572	123 176 273 165 168	169
573	1 293 2	385
574	270 271 39 132	38
575	131 13 25 12 1 0 19	5
576	16 39 104 93 274 30 281 142 82	125
577	181 123 27	71
578	66 2 5	6
579	129 130 97	22
580	96 123 6 197 27	22
581	88 60 154 71 151 52 12 6 124 116 5 120 44 131 70 14	21
582	22 130 123	6
583	144 96 137	7
584	7 124 93 236 5 1 59 39 66 11 111	121
585	270 97 6 32 74 236 13 2	22
586	247 37 6 136	158
587	1 21 115 155 123 247 136	79
588	104 113 1 340	85
589	103 22 104 151 6 16	158
590	120 145 376	31
591	30 13 2	118
592	30 144 6 29 347	79
593	171 93 56 185 17 168 26 7	225
594	1 0 21 2 46 176	6
595	6 140 93 11 27	197
596	2 6 124 21	8
597	70 66 1 12 131	97
598	114 172 109	55
599	154 116 44	19
600	265 132 37 115	73
601	19 20 133 1 0 2	454
602	298 1 64	387
603	82 86 262 95 447 37 3	2
604	81 195 7 15 4 156 95 167 109 157 439 112 248 62 253 111	201
605	176 124 233 234 38 43 6 2 59 104 159	196
606	80 198 6 1 52 59 136 104 26	55
607	44 131 12 127	14
608	4 97 110 5 3 2 225 46 70	133
609	324 46 2 106	60
610	13 22 324 44 195 352	233
611	1 104 5 2	11
612	104 7 96 71 228	30
613	22 21 2 248 46	153
614	32 97 1 70 13 88 9 256	236
615	37 162 470	11
616	113 7 225 1 0 2	172
617	71 96 219 161 167 30 241 428 462 185 93 147 43 26 471 332 439 179 213 472 218 400 148 343 398 130 261 157 390 4 69 217 62 274	149
618	6 43 161	285
619	454 104 136 12 172 121 13 236 15 271 313 116 181 278 231 114	14
620	22 120 2	5
621	38 26 473 35	474
622	1 0 320 201	248
623	1 37 298 5 120	95
624	77 30 168 16 26 29 239 11 176	113
625	25 137 12 1 46 284	22
626	6 296 27	140
627	2 21 22	44
628	2 3 5 1 0 22 21 225 284 109 320	65
629	1 2 46 22 7 96 5 40 343 400 314 8	475
630	6 142 123 476 356	477
631	283 274 104	340
632	37 201 6	142
633	270 271 30 121 172 37 59 12 264 104 182	219
634	30 55 12 43 19 44 4 369 128	324
635	6 111 155	428
636	124 98 274 198 59 15 96 285 144 234	30
637	1 2 5 3 293	94
638	154 6 96 12 127 1 0 2	3
639	2 3 22 5	61
640	1 262 6 66	96
641	172 61 2 12 5	6
642	1 44 12 131	8
643	282 283 71 228 151 162 111 144 11 6	16
644	39 430 38	266
645	195 2 210	330
646	1 2 3	21
647	262 37 151	142
648	114 282 30 464 2	52
649	46 7 22 21 2 155 124 6 59	8
650	66 124 121 30	347
651	30 19 298 3 5 22 154 172 61 116	48
652	89 6 136	88
653	46 278 2 249	11
654	2 4 98 278 21 12 129 44 3 1 385 8 303	286
655	136 103 52 66 198	425
656	6 284 172 8	44
657	6 24 274	171
658	5 1 64	8
659	1 2 19 22	0
660	114 2 293 97 90 70 12 13	44
661	12 298 3	26
662	70 97 32 0 131	12
663	5 22 21 2	96
664	91 404 22	52
665	61 2 21 393	367
666	195 13 270 104 271 6 59	236
667	3 2 94	6
668	151 198 247 172 22 274	188
669	28 30 285	177
670	2 3 5	22
671	182 283 80 82 5 81	123
672	12 2 5 1 153 110 393	320
673	96 155 22	142
674	2 129 156 96	247
675	270 21 1 115 0 46	22
676	171 6 70 151	179
677	1 3 172 5 12 2 66 198 30 82 29	46
678	22 30 115 60	46
679	13 12 154 6 434 172	1
680	217 72 55	40
681	13 1 132	4
682	6 88 1 97	138
683	104 94 43	39
684	124 77 114 239 93 104 26 89 55 160 22 21 54	136
685	66 480 200	1
686	171 405 420	481
687	114 30 7	121
688	144 26 27 341 148	6
689	96 93 30 6	142
690	32 132 294 236 482 98	24
691	2 1 320 64	0
692	162 216 442 268	161
693	240 24 80	86
694	6 121 236 247	7
695	66 144 82 143 296	480
696	66 176 386	256
697	70 13 14 280	267
698	352 353 257 378 258 483 484	485
699	7 22 5 12	249
700	182 71 312 114 82 59 96 394	370
701	172 22 6 3 5	27
702	172 225 22 115 137 21	66
703	2 1 172 115 3 0 155	21
704	270 15 365	133
705	286 2 5	46
706	1 320 0	64
707	82 198 487	257
708	4 88 97 70 2	3
709	25 12 44 281	366
710	285 377 233 120 29	163
711	8 124 59	396
712	113 7 129	122
713	123 59 6	93
714	60 22 2 3 1	5
715	26 239 89 488	37
716	206 263 292	118
717	26 71 144	111
718	2 61 46 5 114 1 22 24	141
719	16 6 152 239 162	328
720	298 17 5 2 3 1 0	172
721	2 0 21	3
722	284 102 228	8
723	1 2 3 5	293
724	1 2 25 46	12
725	130 12 44	97
726	111 22 16 247 6	136
727	82 26 80 144 66 6 77	4
728	5 2 55 113	61
729	39 357 179 343 400 40 118	261
730	240 239 136 247	308
731	115 39 21 270 55 46	159
732	8 19 164	61
733	260 142 16	253
734	0 2 3	1
735	16 37 479 433 162 139 10 428	487
736	22 52 363 17	198
737	5 61 96	136
738	13 225 2 5 21 46 172 30 29 109 124 3 71 341	248
739	2 1 0 3 19	20
740	136 96 137 55 427	345
741	77 30 487 96 29 252 80	168
742	1 263 44 0 2	3
743	283 274 122 71 121	15
744	2 86 0 22 5 30 13 59 262	155
745	142 98 1	62
746	14 74 27	6
747	265 12 44 4 129 66 128	382
748	124 123 59 11 407	18
749	96 27 148 459 64 14	6
750	22 1 130	32
751	6 55 27	140
752	22 454 2	19
753	2 21 3 4 5 46	155
754	2 21 22	1
755	18 11 74 346	77
756	1 0 2 22	12
757	2 1 0 3	6
758	13 226 38 12 30 266	6
759	9 1 154 98	468
760	6 144 59 80 72 120 257 124 187 137 239 143 252 54	7
761	66 6 142	43
762	2 233 459	340
763	493 360 494	361
764	61 5 19	20
765	38 228 37 43 266	408
766	123 80 71 95	59
767	22 290 64	1
768	21 39 38 228 248	167
769	6 1 16	3
770	233 234 353 352 124 77 30 96 416	31
771	26 113 219	96
772	2 3 298 5 71 60	1
773	20 2 1 0 22	64
774	88 256 87 1 22 44 106	12
775	43 77 16 82 30	124
776	22 5 2	3
777	275 6 1 0	2
778	310 263 52 262 85 413	185
779	1 172 128	114
780	2 1 0 298	68
781	155 2 64	1
782	59 182 124 257	143
783	324 6 12	1
784	159 24 46	94
785	229 99 109 274 10 281 171 22 104 282 198 96 16 142	30
786	82 80 281	151
787	239 26 198 39 120 103 441	113
788	220 217 190	33
789	131 130 116 12 97	98
790	404 4 310	171
791	1 5 44	131
792	22 270 115 454 172 46 2 1	160
793	2 3 21 96	123
794	239 30 6	462
795	1 154 0 21 12 313 106 44	60
796	7 96 39 274	252
797	2 3 1	64
798	130 4 267	23
799	13 32 316	105
800	66 281 54	80
801	94 95 5 172	3
802	2 1 5	96
803	122 15 103 340 96 181 39	43
804	5 151 21 1 12 22	44
805	225 46 94 240 181 232 102 115 155 100 161 6 96 39 43 40 132 136 229 442 230 93 79 472 396 137 247 30 407	499
806	52 6 142 239 22 123 500 269 501 84 71 312 104 2 96 93 38 11 89 4 81 127 194 304 437 464 134 502 183 228 0 465 428 192 241 152 383 85 503 308 175 450 14 356 412 504 505 53 320 471 153 159 213 350 27 140 477 196	246
807	21 66 2	96
808	6 66 27	43
809	96 30 114 144 6	55
810	66 133 52	96
811	44 17 6	2
812	324 128 44 3 2 13 5 22 74	19
813	70 13 366	44
814	1 2 46 30 172 274 7 97 124	144
815	130 4 6 142	124
816	5 61 21 299 1	8
817	4 299 66 175 260 201 48 167 62 217 253 332 337 347	79
818	252 507 16 340 228	164
819	1 6 121 5 100 172	102
820	121 139 55	168
821	20 22 2 19 167 63	0
822	233 59 234 104 96	343
823	133 274 17 142 43 1	2
824	17 6 30	136
825	114 270 49 274 60 155 265	264
826	142 6 27 14 46	23
827	157 156 174 4	129
828	132 88 13 97 90 151	32
829	163 377 96	508
830	38 16 266 41 430	43
831	265 13 4 2 46 256 12	66
832	104 30 230 168	505
833	463 256 106	172
834	0 1 2 3 46 129	130
835	30 22 228	104
836	30 6 81 197 510 511	512
837	86 22 172 104 59 32	151
838	77 86 37	118
839	127 277 12 147	173
840	106 22 74	23
841	26 37 164 41 430 266	179
842	96 37 228 233 234 66 274 7 124 120 6 2 3 1 30 142 5 21 22 182 59 257	32
843	70 2 97	3
844	3 2 1 115	6
845	2 172 3 1 106	65
846	26 55 96 3 38 440	148
847	13 37 109 209 264 14	366
848	6 120 30	124
849	155 1 130 6 70	68
850	82 2 3 21 5 1 96 94 198 176	113
851	104 198 144 123 46	26
852	514 515 72 203 217	140
853	2 270 201	1
854	271 270 6	9
855	1 25 44 66 19 20 22 21	46
856	142 96 13 53	7
857	2 1 0 239 26 12 5	17
858	2 293 1	0
859	87 133 70 10 90 364 194 138 160 263	463
860	44 131 70 123	21
861	80 130 120 123 6 155 1 274 142 72 226	137
862	22 55 0 1 162 144	155
863	159 161 148 96 178 285 213 268	517
864	171 71 97 70 16	96
865	4 172 97	21
866	171 66 1	173
867	46 111 124 518	71
868	158 237 150 149	201
869	155 5 104 22 3 2	294
870	30 22 172 21 82 2 3 6 5 46 130	4
871	147 38 519 96	68
872	32 70 97	8
873	225 336 2	151
874	2 1 0 5	3
875	61 2 46	22
876	158 96 356 136 104	1
877	86 104 111 313 521 209 161	325
878	2 1 0 21 22 3	17
879	5 22 3 2 6 21 9	106
880	97 1 155 316	32
881	7 167 288 93 161 31 347 96	46
882	3 52 2 21	6
883	123 57 30 6	158
884	122 1 52 120	240
885	30 120 43 368 96 80	104
886	22 252 306	95
887	172 30 5	2
888	6 142 151	197
889	154 2 140 336	63
890	6 155 1 21 224	64
891	39 43 430	38
892	1 30 6 43 120 209 144 136	104
893	1 23 97 2 131 25 12 19	133
894	22 5 71 26 61 89 502 93 1 454 30 118 172 94 2 38 39 55 99 3 115 130 103 21 159 381 167 201 174 35 67 27 140 144 6 248	246
895	30 363 236 133 324 106 55 32 13 265 132	115
896	16 122 270	70
897	17 32 2 3	70
898	404 142 470 39 130 43 129 310 91	59
899	1 227 64	12
900	225 209 17 22 1	2
901	13 274 43 39 96 89 72	324
902	6 96 98 240 462	102
903	0 3 2 5	61
904	37 270 17 86 9 114 2 115	21
905	13 71 239 263	151
906	86 71 133 171 155 247 191 158 130	129
907	44 131 164 23	25
908	15 21 5 22 2	104
909	122 124 52 274	372
